8193,4034977884,300950049,2371159912,1514385609,2297915760,2141026284,3966462137,628714813,3516996458,3811944336,1396126784,3744016100,2908135366,356692002,423663877
4294967295,1379809172,3941405415,2820734687,2848341521,4038286852,2655647098,1338044966,2065454653,4112222769,351231284,2437911510,3933283597,1650494878,3014509777,1891289269
8193,3627305687,3620825209,3960646180,331421405,932122767,957550732,182744526,2065454653,760133560,908947684,2858517169,2416101948,2983781638,882860351,259989411
4294967295,3961595444,3674537867,2445018789,85193242,1539249482,2980046494,777970837,3666252482,2717348348,3001196212,2010768681,3406660520,926278017,774076426,1379809172
8193,3516996458,3412106944,2121953350,958954265,1801942236,2364774100,2242351569,728252102,2872115938,2584040785,3118554808,1425702833,1857055785,353561880,1338044966
4294967295,4112222769,774076426,2959745864,1621751092,2571290653,3053579958,2175747024,1171611666,3653564214,433988716,498745805,485849709,2898840511,3994017246,328505158
8193,1577618947,697857110,226043344,2762372000,1474232608,1784624155,1422851357,1171611666,2346285917,2153941011,3066785830,4126273269,2858517169,3674537867,4112222769
4294967295,760133560,520995606,818906495,50980532,1923807383,536495711,3653564214,3566715193,990293297,2655647098,1417756281,543397899,2284198614,3620825209,3516996458
8193,3796221490,2801294468,1630145327,361683698,3961595444,4160851218,818906495,3040495337,1997051535,674142086,2052615726,1621751092,1338044966,2510343140,1849948506
4294967295,1176412487,825787941,1354824901,550951195,667661608,2241376882,4068923951,3716210004,256680443,620429428,2119220271,958954265,3966462137,3758471584,3960646180
8193,2908135366,1314920801,1942762156,1878865347,2119220271,3773971689,3377177511,578757291,1857055785,3941405415,1891289269,1532595295,2664821968,3053579958,2546384366
4294967295,1650494878,3337416563,1369256180,3406660520,2052615726,3597110185,3750518886,3040495337,2898840511,3994017246,3871303418,50980532,1354824901,1930193195,334671347
8193,2297915760,3811944336,423663877,3809117586,1577618947,2566863697,1311185657,2308657271,1801942236,697857110,183971426,4209774053,2119220271,3469179354,226043344
4294967295,4038286852,351231284,1891289269,2869264462,760133560,1393778351,926278017,1928717587,2571290653,520995606,2257475828,3963545890,2052615726,1493672827,818906495
8193,2683760950,1293771083,2242351569,543397899,705921712,353561880,2877211014,1928717587,334671347,2241376882,2717348348,2780581686,667661608,433988716,2010768681
4294967295,2619659915,908947684,2175747024,4126273269,767288739,3994017246,3066785830,1986310024,2546384366,4160851218,760133560,2848341521,333371851,2584040785,1436450126
